sample,host_read_count,all_read_count,percentage_host_DNA,organism
bftm22034.sam,165046,60784258,0.27,Non westernized human / Rural
bftm0902ecol40.sam,155633,30088172,0.52,Non westernized human / Rural
bftm01028.sam,10943,44433538,0.02,Non westernized human / Rural
bftm2501ecol7.sam,37260,53232538,0.07,Non westernized human / Rural
bftm200318.sam,88945,56072148,0.16,Non westernized human / Rural
bftm080215.sam,16237,76984636,0.02,Non westernized human / Rural
bftm200129.sam,212498,73008450,0.29,Non westernized human / Rural
bftm010319.sam,28985,63373402,0.05,Non westernized human / Rural
bftm2002ext29.sam,4930107,53649054,9.19,Non westernized human / Rural
ERR1914445,608,5149226,0.01,Dog
ERR1915141,199,3533432,0.01,Dog
ERR1916240,2398,2959452,0.08,Dog
ERR1915117,1224,4438944,0.03,Dog
ERR1913401,2085,3861284,0.05,Dog
ERR1915610,3612,3616066,0.1,Dog
ERR1915410,2647,3802428,0.07,Dog
ERR1916166,893,4657978,0.02,Dog
ERR1914224,3162,7968330,0.04,Dog
ERR1913830,4042,4956394,0.08,Dog
ERR1915971,3066,4209920,0.07,Dog
ERR1916218,865,4191090,0.02,Dog
ERR1916299,1363,3491562,0.04,Dog
ERR1915335,1355,4116570,0.03,Dog
ERR2402762,18498,4063404,0.46,Dog
ERR1914696,15239,4051532,0.38,Dog
ERR1914207,7208,4447510,0.16,Dog
ERR1914085,3503,4028044,0.09,Dog
ERR1913614,799,4337814,0.02,Dog
ERR1913472,37622,4346212,0.87,Dog
ERR1915751,454,3857096,0.01,Dog
ERR1916229,2312,2731206,0.08,Dog
ERR1915582,253,4691122,0.01,Dog
ERR1914944,16628,3581252,0.46,Dog
ERR2402765,18942,4198878,0.45,Dog
ERR1916302,1495,3500200,0.04,Dog
ERR1915103,1230,4197006,0.03,Dog
ERR1913556,1161,4701010,0.02,Dog
ERR1914307,1630,4460470,0.04,Dog
ERR1915539,3850,5618600,0.07,Dog
ERR1915309,1978,4852570,0.04,Dog
ERR1915204,479,3744596,0.01,Dog
ERR1914185,6159,3697256,0.17,Dog
ERR1915816,5834,3822118,0.15,Dog
ERR1913391,10689,4830492,0.22,Dog
ERR1914332,652,3360198,0.02,Dog
ERR1915022,263,3385498,0.01,Dog
ERR1914439,540,4704484,0.01,Dog
ERR1914302,1499,3674014,0.04,Dog
ERR1914320,1873,4628300,0.04,Dog
ERR1913524,1089,2602736,0.04,Dog
ERR1915317,1060,3177654,0.03,Dog
ERR1913948,34470,5574974,0.62,Dog
ERR1914316,1907,4707448,0.04,Dog
ERR2402795,11041,7701058,0.14,Dog
ERR1916189,403,4469802,0.01,Dog
ERR1913963,37461,6034196,0.62,Dog
ERR1915826,5715,3708276,0.15,Dog
ERR1914111,2646,5868374,0.05,Dog
ERR1916042,1166,4125478,0.03,Dog
ERR1915011,165,2450928,0.01,Dog
ERR1915380,1104,5994652,0.02,Dog
ERR1913847,4226,5259340,0.08,Dog
ERR1915423,2539,3681956,0.07,Dog
ERR1913542,1089,4522812,0.02,Dog
ERR1913392,2317,3933230,0.06,Dog
ERR1915782,716,3017150,0.02,Dog
ERR1915499,1215,3880756,0.03,Dog
ERR1915611,3642,3714362,0.1,Dog
ERR1915376,1025,5993272,0.02,Dog
ERR1914041,3372,3524712,0.1,Dog
ERR1914553,357,3517282,0.01,Dog
ERR1914438,453,3627364,0.01,Dog
ERR1916315,1563,3665318,0.04,Dog
ERR1913675,1456,4214100,0.03,Dog
ERR1915420,2338,3481940,0.07,Dog
ERR1915225,3930,3020966,0.13,Dog
ERR1914208,3053,7614094,0.04,Dog
ERR1914674,1710,3840494,0.04,Dog
ERR1913829,3673,4821074,0.08,Dog
ERR1915012,153,2369958,0.01,Dog
ERR1913953,35031,5498102,0.64,Dog
ERR2402780,10542,7265952,0.15,Dog
ERR1914424,632,4867382,0.01,Dog
ERR1915578,259,4529930,0.01,Dog
ERR1916319,1637,3652672,0.04,Dog
ERR1915100,1240,4141642,0.03,Dog
ERR2402772,18280,4026780,0.45,Dog
ERR2402760,18150,4039828,0.45,Dog
ERR1914932,15164,3287538,0.46,Dog
ERR1913663,1303,4040726,0.03,Dog
ERR1914441,668,4917562,0.01,Dog
ERR1914215,2848,7596536,0.04,Dog
ERR1915229,3875,3003368,0.13,Dog
ERR1915197,445,3757648,0.01,Dog
ERR1915363,1068,5700780,0.02,Dog
ERR1916170,930,4896070,0.02,Dog
ERR1916139,1827,4661524,0.04,Dog
ERR1913608,873,4331384,0.02,Dog
ERR1915231,4195,3172694,0.13,Dog
ERR1913387,10563,4771292,0.22,Dog
ERR1913805,4669,5005990,0.09,Dog
ERR1916312,1574,3666764,0.04,Dog
ERR1915253,888,2681768,0.03,Dog
ERR1914107,2628,5828016,0.05,Dog
ERR1916180,374,4176872,0.01,Dog
ERR1914213,2976,7529110,0.04,Dog
ERR1913944,35628,5713266,0.62,Dog
ERR1914430,561,4651614,0.01,Dog
ERR1913400,2197,3848794,0.06,Dog
ERR1914987,17358,6702566,0.26,Dog
ERR1914088,2503,5480602,0.05,Dog
ERR1915765,577,3999508,0.01,Dog
ERR1914605,3411,5270774,0.06,Dog
ERR1913527,1392,3144084,0.04,Dog
ERR1915320,1193,3635468,0.03,Dog
ERR1915102,1360,4220982,0.03,Dog
ERR1915186,325,5789872,0.01,Dog
ERR1913947,34769,5680650,0.61,Dog
ERR1915745,528,3839130,0.01,Dog
ERR1915563,3920,4000478,0.1,Dog
ERR1914040,3115,3600712,0.09,Dog
ERR1913950,35171,5718084,0.62,Dog
ERR1916193,383,4427438,0.01,Dog
ERR1915453,342,3901528,0.01,Dog
ERR1914997,17044,6507116,0.26,Dog
ERR1914292,1345,3294266,0.04,Dog
ERR1915122,216,3518714,0.01,Dog
ERR1916182,435,4189138,0.01,Dog
ERR1915558,3896,3891880,0.1,Dog
ERR1914985,17576,6617046,0.27,Dog
ERR1914349,702,3639940,0.02,Dog
ERR1916187,471,4527058,0.01,Dog
ERR1914611,3202,5193784,0.06,Dog
ERR1915438,372,3720340,0.01,Dog
ERR1913555,1133,4746178,0.02,Dog
ERR1913372,10214,4489848,0.23,Dog
ERR1915094,851,5057952,0.02,Dog
ERR1915048,7115,4014060,0.18,Dog
ERR1915455,402,3885130,0.01,Dog
ERR1915529,3721,5474540,0.07,Dog
ERR1913389,10596,4813572,0.22,Dog
ERR1915571,4138,4134088,0.1,Dog
ERR1914196,4277,2525784,0.17,Dog
ERR1915757,513,3786956,0.01,Dog
ERR1914667,1541,3685008,0.04,Dog
ERR1914082,3314,3859180,0.09,Dog
ERR1915293,1756,4254094,0.04,Dog
ERR1915064,7349,4220568,0.17,Dog
ERR1916078,1252,5512918,0.02,Dog
ERR1914750,1693,4200270,0.04,Dog
ERR1913815,5349,5771454,0.09,Dog
ERR1913971,10729,5552042,0.19,Dog
ERR1915838,5895,4016142,0.15,Dog
ERR1915382,988,5989274,0.02,Dog
ERR1913780,4205,6474574,0.06,Dog
ERR1915590,261,4385590,0.01,Dog
ERR1915612,3884,3611340,0.11,Dog
ERR1915140,218,3329108,0.01,Dog
ERR1915367,1013,5707360,0.02,Dog
