,PC1,PC2,Canis_familiaris,Homo_sapiens,Soil,unknown,Predicted organism,plot_id
ZSM002,-12.652217,-13.047946000000001,0.05022299856013459,0.921762005185683,0.014126104595564085,0.013888891658618232,Homo sapiens,01
ZSM005,-16.683495999999998,-3.1311392999999996,0.05022299856038327,0.9217620051902472,0.014126104595634029,0.013888891653735651,Homo sapiens,02
ZSM023,-12.653141999999999,-13.413028,0.05022299856043765,0.9217620051912452,0.014126104595649329,0.013888891652667695,Homo sapiens,03
ZSM025,-19.370142,-4.2797184,0.050225688327396135,0.92181137151855,0.014126861140070859,0.013836079013983142,Homo sapiens,04
ZSM027,-20.425852,-2.4742227000000003,0.05022299856028099,0.92176200518837,0.014126104595605262,0.013888891655743548,Homo sapiens,05
ZSM028,-24.332617000000003,-9.976004,0.05022299856037722,0.921762005190136,0.014126104595632329,0.013888891653854306,Homo sapiens,06
ZSM029,-0.6451475,-18.452852,0.050222998560066005,0.9217620051844244,0.014126104595544794,0.013888891659964887,Homo sapiens,07
ZSM031,-23.897522,1.077944,0.050222998560438416,0.9217620051912592,0.01412610459564954,0.013888891652652805,Homo sapiens,08
AHP001,-8.097011,-31.5381,0.03219548401665207,0.014973938497284385,0.468624819719761,0.4842057577663026,Unknown,09
AHP002,-11.481475999999999,-34.936046999999995,0.04088822966189227,0.01901688559499038,0.5951530110264507,0.3449418737166668,Soil,10
AHP003,-12.097717,-35.15215,0.0358126418133737,0.016656258239862817,0.5212747478745876,0.426256352072176,Soil,11
AHP004,7.4636226,-7.2751220000000005,0.5267561668989968,0.10553001434992157,0.00923078656507968,0.35848303218600197,Canis familiaris,12
YRK001,12.980815,1.2745117,0.9486853737079702,0.023321790438162744,0.01410394419988542,0.013888891653981508,Canis familiaris,13
TRO001,-9.569360000000001,-31.206976,0.06124147697605056,0.0284830664216117,0.8914068846559292,0.018868571946408508,Soil,14
DRL001,-6.732208,-35.138317,0.03380412801031407,0.015722109769151647,0.4920396098540924,0.4584341523664418,Unknown,15
CBA001,-8.971134,-35.102470000000004,0.03612976514301666,0.016803750516471296,0.5258906705023076,0.4211758138382045,Soil,16
BRF001,-12.659374,-35.26016,0.036339016916440176,0.01690107233912415,0.5289364571270999,0.4178234536173358,Soil,17
LEI010,-6.2987347,-30.463503000000003,0.036026768511275474,0.016755847362466148,0.5243914919853302,0.42282589214092825,Soil,18
ECO004,-9.55679,-34.750652,0.03374934320779167,0.01569662966569577,0.4912421837867543,0.4593118433397582,Unknown,19
CMN001,-8.172891,-35.0174,0.033419152373318675,0.015543059766103382,0.486436055691336,0.4646017321692419,Unknown,20
MLP001,-6.291108,-30.472929999999998,0.03127929941444188,0.014547826192882972,0.4552891965056882,0.498883677886987,Unknown,21
